이름,플랫폼,작가,그림,장르,상태,요일,좋아요,별점,총화수,무료,줄거리,첫화링크
죽어도 다시 한번!,naverseries,이지원,티키타카,순정,완결,목,7,8.7,52,7화,"예쁜 연인이던 은수와 원오는 3년간의 결혼 생활 후 남보다 못한 원수지간으로 갈라선다이혼 후 2년 뒤, 미국에서 사업에 크게 성공한 원오는 한국으로 돌아와 은수와 재회하지만, 은수의 곁은 그녀를 줄곧 짝사랑해온 태인이 지키고 있다 2년만에 셋이서 재회하게 된 그날 밤, 셋은 같은 와인을 마시고 5년 전 과거로 회귀하게 된다은수의 완강한 의지로 은수와 원오는 다시 이혼을 준비하고, 태인은 다시 은수를 빼앗길 수 없다는 불안감에 원오와 대립하게 된다 하지만 다시 얼굴을 부딪히고 살게 된 은수와 원오는 과거에 몰랐던 서로의 모습들을 알아가며 흔들리는데접기",https://series.naver.com/comic/detail.series?productNo=9139444&sortOrder=DESC#priceInfo
이런 영웅은 싫어,naverseries,삼촌,삼촌,소년,완결,화,431,10.0,303,28화,"실존하는 수많은 영물들과 싸우는 히어로, 스푼(SPOON)의 대활약 이야기",https://series.naver.com/comic/detail.series?productNo=2162320&sortOrder=DESC#priceInfo
성애적 순애보,naverseries,유,명,순정,시즌 휴재,일,6,10.0,34,전화,"같은 이유로 각자의 연인에게 이별을 통보한 유별과 이별을 통보받은 한결 헤어진 이유는 같지만 서로를 전혀 이해할 수 없는 두 사람이 하필 파트너로 엮여버렸다?진짜 사랑을 두고 한결과 성애 vs 순애로 충돌하기 시작해 급기야 위험한 내기를 제안하는 유별""사랑이 될 수 있을지 없을지 한번 확인해 볼래요?""접기",https://series.naver.com/comic/detail.series?productNo=9581479&sortOrder=DESC#priceInfo
절세전혼,naverseries,,SerComic,무협,시즌 휴재,화,3,8.7,160,3화,"창천대륙에서는 강한 무인이 되려면 무혼 각성이 필수지만, 진겸은 가문의 기대와 달리 가장 낮은 무혼으로 각성하고 멸시를 받는다    하지만 사실 진겸에게는 가장 낮은 등급의 무혼으로 각성해야만 하는 비밀이 있었는데……접기",https://series.naver.com/comic/detail.series?productNo=5607204&sortOrder=DESC#priceInfo
호환마마,naverseries,김턱,파공,드라마,완결,월,2,8.0,30,2화,"조선 팔도에는 산마다 호랑이가 살며,밤에는 호랑이가 내려와 사람을 먹는 시대홀몸으로 두 남매를 키우던 안설화는눈앞에서 호랑이에게 두 아이가 죽는걸 보게 된다그후 복수심에 호랑이를 죽이는 것만을 생각하며 여행을 떠나는데접기",https://series.naver.com/comic/detail.series?productNo=10902575&sortOrder=DESC#priceInfo
꽃은 춤추고 바람은 노래한다,naverseries,라넬라,상행,순정,완결,토,좋아요,10.0,126,3화,"누구나 선망하는 화려한 삶을 살았지만젋은 나이에 병으로 죽은 에르셀라그녀는 죽기 전 아들에게 제대로 된 어미가 되지 못한 것을 후회했다그런데 어쩐 일인지 3년 전으로 돌아왔다2회 차 인생을 살게 된 에르셀라이번에는 다정한 엄마가 되리라 다짐한다하지만 너무 늦은 것일까“이제 와서 이러시는 것은 불쾌감만 들게 할 뿐입니다”아들은 그녀를 밀어내기만 하고,회귀 전 괜찮은 줄로만 알았던 남편과의 관계도 잘못되어 있었음을 깨닫게 되는데…접기",https://series.naver.com/comic/detail.series?productNo=11077794&sortOrder=DESC#priceInfo
내일,naverseries,라마,라마,드라마,연재중,토,1519,10.0,333,328화,"다 되는데 취업만은 안되는 최준웅(27세,남)우연한 사고로 저승독점기업 주마등에서 일하게 된다주마등의 특별팀인 위기관리팀의 계약직 막내로 일하며 위기에 처한 사람들을 돕게 되는데접기",https://series.naver.com/comic/detail.series?productNo=2794452&sortOrder=DESC#priceInfo
이세계 용사가 지구를 구하는 이유,naverseries,,자린고비인,소년,시즌 휴재,토,3,9.7,21,전화,"시스템이 등장한 각성의 밤 이후, 모두가 마나를 가지게 된 세상그러나 홀로 마나가 없어 던전의 짐꾼으로 근근히 생활을 이어가던 수정은 자신이 이세계에서 온 용사라고 주장하는 아이를 만난다용사가 지닌 수수께끼의 강력한 힘 용사를 만난 이후 생겨난 가슴 뛰는 인생 첫 스킬지구를 구하라는 사명만을 기억하는 엉뚱한 용사와 함께 수정은 원하는 목적을 이룰 수 있을까?접기",https://series.naver.com/comic/detail.series?productNo=9150454&sortOrder=DESC#priceInfo
사신 영웅전 : 바보 마법사 영웅이 되다,naverseries,당가삼소,Fat수(A-SOUL),소년,시즌 휴재,수,6,7.9,233,4화,"마법사가 된 바보는 세계를 뒤흔들 영웅이 될 수 있을까?소매치기를 한 대가로 근근이 만두로 배를 채우며 살아가는 단 착한 것인지 아니면 그저 멍청한 것인지 열악한 상황에서도 늘 미소를 잃지 않는데… 그런 단 앞에 나타난 대륙 제1 연금술사 그리스와, 제1 킬러 에반 그들과의 만남으로 단은 예전과 180도 달라진 삶을 살게 되는데 단의 운명은 과연 어떻게 뒤바뀔 것인가접기",https://series.naver.com/comic/detail.series?productNo=4214002&sortOrder=DESC#priceInfo
첫날밤만 세 번째,naverseries,갓녀,나라나라,순정,연재중,토,17,9.9,78,73화,"하룻밤 일탈의 상대가 타임 루프로 사라진 시간을 기억한다스스로의 인생에 허망함과 회의감을 느끼던 29세 ‘백도희’답답한 마음에 ‘일탈’을 꿈꾸던 도희는 친구인 누리 대신 나간 선자리에서 ‘준원'을 만난다 알 수 없는 이끌림에 원나잇까지 하게 되지만 절정의 순간,어릴 때부터 무작위로 발현되어 온 ‘타임 루프’가 일어난다 도희는 그날을 없던 일로 만들기 위해 끝끝내 준원을 만나지 않고 ‘그날’을 넘긴다1년 후, 자신의 팀장 자리를 차지하게 된 준원과 재회한 도희그런데 당연히 ‘그날’을 기억하지 못해야 하는 준원이 ‘그날’과 그녀를 기억한다아무리 밀어내려 해도 저돌적으로 다가오는 준원에게 도희는 속절없이 말려든다각자의 이유로 감정 고슴도치가 되어버린 두 남녀, 그 벽을 허물고 함께 행복해질 수 있을까?접기",https://series.naver.com/comic/detail.series?productNo=9218369&sortOrder=DESC#priceInfo
